title,n_enrolled,course_type,Level,subject,language,price
statistical thinking for data science and analytics,"198,861",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $99 usd
philosophy and critical thinking,"97,175",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
international law,"91,868",self-paced on your time,advanced,law,english,free-add a verified certificate for $150 usd
tourism and travel management,"38,503",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $5 usd
project management life cycle,"120,019",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $150 usd
solar energy,"125,069",self-paced on your time,introductory,engineering,english,free-add a verified certificate for $50 usd
public speaking,"10,129",self-paced on your time,introductory,communication,english,free-add a verified certificate for $199 usd
japanese pronunciation for communication,"62,757",self-paced on your time,introductory,communication,日本語,free-add a verified certificate for $99 usd
mindfulness and resilience to stress at work,"33,414",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
framing your communication to inspire and convince,"49,351",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $125 usd
business foundations,"55,154",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $150 usd
the chemistry of life,"78,704",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $49 usd
nutrition and health: micronutrients and malnutrition,"78,266",self-paced on your time,intermediate,biology & life sciences,english,free-add a verified certificate for $99 usd
digital design,"12,339",self-paced on your time,introductory,design,english,free-add a verified certificate for $50 usd
machine learning for data science and analytics,"140,419",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $99 usd
the science of everyday thinking,"318,399",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $99 usd
gestion de projets de développement,"41,663",self-paced on your time,intermediate,business & management,français,free-add a verified certificate for $25 usd
product management fundamentals,"11,913",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $199 usd
international human rights law,"74,424",self-paced on your time,advanced,law,english,free-add a verified certificate for $150 usd
the best start in life: early childhood development for sustainable development,"23,139",self-paced on your time,intermediate,education & teacher training,english,free-add a verified certificate for $49 usd
data science and machine learning capstone project,"21,809",self-paced on your time,intermediate,data analysis & statistics,english,free-add a verified certificate for $99 usd
"data science for construction, architecture and engineering","11,113",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $199 usd
"nutrition, heart disease and diabetes","24,986",self-paced on your time,intermediate,food & nutrition,english,free-add a verified certificate for $99 usd
project management for development,"62,099",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $49 usd
introduction to cloud infrastructure technologies,"86,923",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $169 usd
"circular fashion: design, science and value in a sustainable clothing industry","13,566",self-paced on your time,introductory,art & culture,english,free-add a verified certificate for $65 usd
machine learning,"150,855",instructor-led on a course schedule,advanced,computer science,english,free-add a verified certificate for $249 usd
introducción a la gestión de proyectos,"98,517",self-paced on your time,introductory,business & management,español,free-add a verified certificate for $50 usd
free cash flow analysis,"36,085",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $225 usd
lean production,"55,926",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $99 usd
introduction to algebra,"131,197",self-paced on your time,introductory,math,english,free-add a verified certificate for $139 usd
