name,institution,course_id
children's human rights - an interdisciplinary introduction,university of geneva,childrens-rights
investment management in an evolving and volatile world by hec paris and axa investment managers,hec paris,investment-management
introduction to data analysis using excel,rice university,excel-data-analysis
mind control: managing your mental health during covid-19,university of toronto,manage-health-covid-19
introduction to international criminal law,case western reserve university,international-criminal-law
"fintech: foundations, payments, and regulations",university of pennsylvania,wharton-fintech-overview-payments-regulations
greek and roman mythology,university of pennsylvania,mythology
politics and economics of international energy,sciences po,global-energy
continuous delivery & devops,university of virginia,uva-darden-continous-delivery-devops
teach english now! foundational principles,arizona state university,english-principles
business model innovation,hec paris,business-model
introduction to user experience principles and processes,university of michigan,introtoux-principles-and-processes
beyond the sustainable development goals (sdgs): addressing sustainability and development,university of michigan,beyond-the-sustainable-development-goals-addressing-sustainability-and-development
process mining: data science in action,eindhoven university of technology,process-mining
fundamentals of immunology: innate immunity and b-cell function,rice university,immunologyfundamentalsimmunitybcells
introduction to corporate finance,university of pennsylvania,wharton-finance
global diplomacy: the united nations in the world,university of london,global-diplomacy-un
algorithmic toolbox,university of california san diego,algorithmic-toolbox
troubles du spectre de l'autisme : diagnostic,university of geneva,troubles-spectre-autisme-diagnostic
anatomy: musculoskeletal and integumentary systems,university of michigan,anatomy403-1x
unraveling the cycling city,university of amsterdam,unraveling-the-cycling-city
a crash course in causality:  inferring causal effects from observational data,university of pennsylvania,crash-course-in-causality
english for business and entrepreneurship,university of pennsylvania,business
natural language processing with attention models,deeplearning.ai,attention-models-in-nlp
what is compliance?,university of pennsylvania,what-is-compliance
getting started with google sheets,google cloud,getting-started-with-google-sheets
data visualization with python,ibm,python-for-data-visualization
foundations of mindfulness,rice university,foundations-of-mindfulness
negociación exitosa: estrategias y habilidades esenciales (en español),university of michigan,negociacion
data-driven decision making,pwc,decision-making
fundamentals of engineering exam review,georgia institute of technology,fe-exam
gender and sexuality: diversity and inclusion in the workplace,university of pittsburgh,gender-sexuality
managerial accounting fundamentals,university of virginia,uva-darden-managerial-accounting
search engine optimization fundamentals,"university of california, davis",seo-fundamentals
essentials of global health,yale university,essentials-global-health
international security management,erasmus university rotterdam,international-security-management
getting started with aws machine learning,amazon web services,aws-machine-learning
arts and heritage management,università bocconi,arts-heritage
understanding einstein: the special theory of relativity,stanford university,einstein-relativity
réussir le changement,essec business school,reussir-le-changement
equine welfare and management,"university of california, davis",equine
international migrations: a global issue,sciences po,international-migrations
introduction to web development,"university of california, davis",web-development
writing and editing: word choice and word order,university of michigan,writing-editing-words
introduction to the digital advertising landscape,university of colorado boulder,digital-advertising-landscape
access controls,(isc)²,access-control-sscp
engineering project management: initiating and planning,rice university,initiating-planning
kotlin for java developers,jetbrains,kotlin-for-java-developers
mathematics for machine learning: multivariate calculus,imperial college london,multivariate-calculus-machine-learning
introduction to git and github,google,introduction-git-github
industrial biotechnology,university of manchester   ,industrial-biotech
the addicted brain,emory university,addiction-and-the-brain
introducción a la programación en python i: aprendiendo a programar con python,pontificia universidad católica de chile,aprendiendo-programar-python
modernizing data lakes and data warehouses with gcp,google cloud,data-lakes-data-warehouses-gcp
drug discovery,university of california san diego,drug-discovery
nutrition and lifestyle in pregnancy,ludwig-maximilians-universität münchen (lmu),nutrition-pregnancy
financial acumen for non-financial managers,university of pennsylvania,finance-healthcare-managers
python and statistics for financial analysis,the hong kong university of science and technology,python-statistics-financial-analysis
bugs 101: insect-human interactions,university of alberta,bugs-101
autodesk certified professional: revit for architectural design exam prep,autodesk,autodesk-revit-architectural-design
"leading for equity, diversity and inclusion in higher education",university of michigan,leading-for-equity-diversity-inclusion
digital media and marketing strategies,university of illinois at urbana-champaign,marketing-plan
enterprise architecture,peter the great st. petersburg polytechnic university,enterprise-architecture
introduction to spreadsheets and models,university of pennsylvania,wharton-introduction-spreadsheets-models
the arts and science of relationships: understanding human needs,university of toronto,human-needs
essentials in clinical simulations across the health professions,the george washington university,clinicalsimulations
budgeting and scheduling projects,"university of california, irvine",schedule-projects
machine learning for business professionals,google cloud,machine-learning-business-professionals
introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,intro-accounting-data-analytics-visual
spanish vocabulary: meeting people,"university of california, davis",spanish-vocabulary-meeting-people
gestión empresarial exitosa para pymes,pontificia universidad católica de chile,gestionempresarialpyme
public policy challenges of the 21st century,university of virginia,public-policy
international law in action: the arbitration of international disputes,universiteit leiden,arbitration-international-disputes
introduction to ancient egypt and its civilization,university of pennsylvania,introancientegypt
financing and investing in infrastructure,università bocconi,infrastructure-investing
global environmental management,technical university of denmark (dtu),global-environmental-management
operations analytics,university of pennsylvania,wharton-operations-analytics
entrepreneurship strategy: from ideation to exit,hec paris,entrepreneurship-strategy
fintech law and policy,duke university,fintechlawandpolicy
the social context of mental health and illness,university of toronto,mental-health
what is contemporary art?,the museum of modern art,contemporary-art
the art of music production,berklee college of music,producing-music
biohacking your brain's health,emory university,biohacking-your-brains-health
bayesian statistics: from concept to data analysis,"university of california, santa cruz",bayesian-statistics
reporting extra-financier et stratégie rse,essec business school,reporting-extra-financier-strategie-rse
leading healthcare quality and safety,the george washington university,quality-healthcare
understanding international relations theory,national research university higher school of economics,international-relations-theory
introduction to data analytics,ibm,introduction-to-data-analytics
fundamentos de excel para negocios,universidad austral,excel-para-negocios
elastic google cloud infrastructure: scaling and automation,google cloud,gcp-infrastructure-scaling-automation
cultural competence - aboriginal sydney,the university of sydney,cultural-competence-aboriginal-sydney
fundamentos de finanzas empresariales,universidad de los andes,finanzas-empresariales
greening the economy: sustainable cities,lund university,gte-sustainable-cities
introduction to engineering mechanics,georgia institute of technology,engineering-mechanics-statics
design-led strategy: design thinking for business strategy and entrepreneurship,the university of sydney,design-strategy
biology meets programming: bioinformatics for beginners,university of california san diego,bioinformatics
understanding medical research: your facebook friend is wrong,yale university,medical-research
